doc_id,unit_id,text,topic,topic_name
2,2_chunk_0,"INL is a U.S. Department of Energy National Laboratory operated by Battelle Energy Alliance, LLC INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment July 2023 Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severson, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima DISC",1,1_materials_criticality_critical_assessment
2,2_chunk_500,"LAIMER This information was prepared as an account of work sponsored by an agency of the U.S. Government. Neither the U.S. Government nor any agency thereof, nor any of their employees, makes any warranty, expressed or implied, or assumes any legal liability or responsibility for the accuracy, completeness, or usefulness, of any information, apparatus, product, or process disclosed, or represents that its use would not infringe privately owned rights. References herein to any specific commercial",1,1_materials_criticality_critical_assessment
2,2_chunk_1000," product, process, or service by trade name, trade mark, manufacturer, or otherwise, does not necessarily constitute or imply its endorsement, recommendation, or favoring by the U.S. Government or any agency thereof. The views and opinions of authors expressed herein do not necessarily state or reflect those of the U.S. Government or any agency thereof. INL/RPT-23-72323-Revision-1 2023 Critical Materials Assessment Diana Bauer, Helena Khazdozian, Jeremy Mehta, Ruby Thuy Nguyen, Michael H Severso",1,1_materials_criticality_critical_assessment
2,2_chunk_1500,"n, Bjorn C Vaagensmith, Lionel Toba, Bo Zhang, Tasmin Hossain, Adam Paul Sibal, Braeton J Smith, Matthew E. Riddle, Diane J. Graziano, Tony Mathew, Patrick Cuscaden, Qiang Dai, Chukwunwike Iloeje, Lesley Edgemon, Caitlyn Sarna, Julian Quaresima July 2023 Idaho National Laboratory Idaho Falls, Idaho 83415 http://www.inl.gov Prepared for the U.S. Department of Energy Under DOE Idaho Operations Office Contract DE-AC07-05ID14517 Critical Materials Assessment U.S. Department of Energy July 2023 (This",1,1_materials_criticality_critical_assessment
2,2_chunk_2000," page intentionally left blank.) U.S. Department of Energy, Critical Materials Assessment 2023 i Preface For more than a decade, the U.S. Department of Energy (DOE) has funded basic and applied research and development (R&D) related to critical materials to address the scientific and technological (S&T) challenges that underpin supply chain vulnerabilities. These investments were made possible through the first DOE Critical Materials Strategy in 2010. This included the first DOE Critical Materia",1,1_materials_criticality_critical_assessment
2,2_chunk_2500,"ls Assessment – identifying which materials were critical for clean energy technologies. It also defined the pillars that form the foundation of the DOE research strategy that guided these investments. The Energy Act of 2020 expanded DOE authorities to address critical materials challenges through a Critical Materials Research, Development, Demonstration, and Commercialization Application (RDD&CA) Program. The Critical Materials RDD&CA Program allows DOE to invest across the entire research cont",1,1_materials_criticality_critical_assessment
2,2_chunk_3000,"inuum and supply chain. Through the Critical Materials RDD&CA Program, DOE implements the DOE Vision and Strategy for Critical Minerals and Materials (CMM): Vision: • Develop reliable, resilient, affordable, diverse, sustainable, and secure domestic critical mineral and materials supply chains, • support the clean energy transition and decarbonization of the energy, manufacturing, and transportation economies, and • promote safe, sustainable, economic, and environmentally just solutions to meet ",1,1_materials_criticality_critical_assessment
2,2_chunk_3500,current and future needs. Strategy: • Diversify & Expand Supply: Diversify and expand critical mineral and material supply from varying sources while minimizing waste and increasing techno-economic coproduction of materials – to ensure material availability; • Develop Alternatives: Innovate alternative materials and/or manufacturing components – reduce demand and partially offset the need for virgin materials; • Materials and Manufacturing Efficiency: Use and process materials efficiently across,1,1_materials_criticality_critical_assessment
2,2_chunk_4000," the entire supply chain and life cycle – to reduce waste; • Circular Economy: Remanufacture, refurbish, repair, reuse, recycle, and repurpose – to extend the lifetime of materials and partially offset the need for virgin materials; • Enabling Activities: Cross-cutting functions, such as criticality assessments, stockpiling, international engagement, market development, and advanced theoretical, computational, and experimental tools – to accelerate progress. The 2023 Critical Materials Assessmen",1,1_materials_criticality_critical_assessment
2,2_chunk_4500,"t will enable DOE to set priorities for investments through the Critical Materials RDD&CA, continuing advancements in S&T innovation in combination with expanded focus on de- risking and deploying commercialization technologies to build and transform domestic supply chains. To learn more about DOE’s Critical Materials RDD&CA Program, readers are encourage to visit the following website: https://www.energy.gov/cmm/critical-minerals-materials-program U.S. Department of Energy, Critical Materials A",1,1_materials_criticality_critical_assessment
