doc_id,title,tok
0,,280
1,Short and long-term mineral resource scarcity impacts for a car manufacturer: The case of electric traction motors,8511
2,2023 Critical Materials Assessment,106647
3,Uniting the Tribes: Using Text for Marketing Insight,21822
4,,1896
5,Projecting demand for mineral-based critical materials in the energy transition for electricity,12154
6,Energy-efficient distribution transformers in Europe: impact of Ecodesign regulation,10911
7,,2128
8,NON-ORIENTED ELECTRICAL STEEL SHEETS,6450
9,"Advancements in Electrical Steels: A Comprehensive Review of Microstructure, Loss Analysis, Magnetic Properties, Alloying Elements, and the Influence of Coatings",14480
10,Non-oriented Electrical Steel Sheet and Its Application Technology for the Traction Motors of Hybrid/Electrical Vehicles,3348
11,BERTopic: Neural topic modeling with a class-based TF-IDF procedure,5796
12,Evolution of research topics in LIS between 1996 and 2019: an analysis based on latent Dirichlet allocation topic model,11683
13,"The processing, microstructure, texture, and magnetic properties of electrical steels: A review",28259
14,ChEMU 2020: Natural Language Processing Methods Are Effective for Information Extraction From Chemical Patents,19823
15,Review of Electrical Steels with their Properties and Recent Trends for Improvement,11351
16,Applications of natural language processing and large language models in materials discovery,11306
17,Patent document clustering with deep embeddings,5844
18,Recent Progress on Non-oriented Silicon Steel,4038
19,Material Design for Low-Loss Non-Oriented Electrical Steel for Energy Efficient Drives,9225
20,A Survey on the Sustainability of Traditional and Emerging Materials for Next-Generation EV Motors,9793
21,"Electrical steels: past, present and future developments",12175
22,Recent development of non-oriented electrical steel sheet for automobile electrical devices,3096
23,Data-driven materials research enabled by natural language processing and information extraction,18631
24,A simple and fast method for Named Entity context extraction from patents,9693
25,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,6708
26,Application of High-Strength Nonoriented Electrical Steel to Interior Permanent Magnet Synchronous Motor,3564
27,Quantifying the advantage of domain-specific pre-training on named entity recognition tasks in materials science,11622
28,Knowledge discovery out of text data: a systematic review via text mining,9663
29,Topic based classification and pattern identification in patents,12478
30,Named Entity Recognition and Normalization Applied to Large-Scale Information Extraction from the Materials Science Literature,8565
31,Developmental Trajectories in Electrical Steel Technology Using Patent Information,5834
32,Fine-Tuning BERT Model for Materials Named Entity Recognition,2906
