group,entity_text,label,scope_tag,context,start_char,end_char,table_or_prose
UNSPECIFIED,2.8% Si,SI_CONTENT,UNSPECIFIED,"Microtextures of cold-rolled NOES: (a) inverse pole ﬁgure map of a 0.88% Si NOES,217 (b) inverse pole ﬁgure map of a 2.8% Si NOES,204 (c) texture of the 0.88% Si NOES, (d) texture of the 2.8% Si NOES.",109172,109179,AM
UNSPECIFIED,3.0% Si,SI_CONTENT,UNSPECIFIED,"Mn has been frequently added to electrical steels to increase the ductility of the material and facilitate the manufacturing.3 Mn has essentially no effect on the crystallographic texture or the magnetic properties.3 Adding Mn in NOES has shown contradictory results: Cardoso et al.149 reported the improvement of the <001>// ND texture in a 3.0% Si NOES by adding 0.54% Mn, and Homma et al.150 reported similar effect by adding 1.3% Mn in a 0.5% Si NOES.",74870,74877,PM
UNSPECIFIED,1.0 T,FLUX_DENSITY,UNSPECIFIED,Iron loss at 1.0 T and 50 Hz as a function of grain size for all studied materials sorted by sheet thickness.,25216,25221,P
UNSPECIFIED,3% Si,SI_CONTENT,UNSPECIFIED,"241C-2412 36 KRAUSE, R.F., RAUCH, G.G., KASNER, W.H., and MILLER, R.A.: ‘Effect of laser scribing on the mametic prowrties and domain structure of high permeabilzy 3% Si-F?, J. AppLPhys., 1984,55, (6), 37 BECKLEY, P., SNELL, D., and LOCHHART, C.: ‘Domain control by spark ablation’, J. Appl.",71047,71052,A
UNSPECIFIED,0.1 T,FLUX_DENSITY,UNSPECIFIED,Magnetization curves were obtained with a resolution of 0.1 T between 0.1 and 1.8 T under frequencies between quasi-static excitation up to 5 kHz.,15657,15662,P
UNSPECIFIED,3% silicon,SI_CONTENT,UNSPECIFIED,Already 0.06 mm to 1 mm thick 6% silicon iron has been shown to be ductile and to have losses less than those of commercial grain-oriented 3% silicon iron.,54084,54094,P
UNSPECIFIED,2.0% Si,SI_CONTENT,UNSPECIFIED,"Lyudkovsky and Southwick198 investigated the effect of thermomechanical processing history on the precipitation, microstructure, texture, and magnetic properties of a 2.0% Si electrical steel with different carbon and aluminium con- tents.",90065,90072,P
UNSPECIFIED,35A300,GRADE,UNSPECIFIED,"4. Motor efﬁciency of test motors (Open; 35A300, Solid; 690-MPa grade).",11814,11820,AM
UNSPECIFIED,1.5 T,FLUX_DENSITY,UNSPECIFIED,"The grade is identified by a code, e.g. 25&35-A5 is a nonoriented steel (A) of thickness 0.35 mm (35) whose guaranteed loss at 1.5 T 50 Hz (5) is no greater than 2.5 W/kg (250).",18811,18816,PM
UNSPECIFIED,6.5 wt% Si,SI_CONTENT,UNSPECIFIED,"Effect of Cu addition on microstructure, texture and magnetic properties of 6.5 wt% Si electrical steel.",166102,166112,P
UNSPECIFIED,2 W/kg,CORE_LOSS,UNSPECIFIED,"By progressive elimination of impu- rities, losses at 1.5 T, 50 Hz, have been cut from around 7 W/kg, in the first steels containing silicon, to less than 2 W/kg, in the best grades today.",9873,9879,P
UNSPECIFIED,15.6 W/kg,CORE_LOSS,UNSPECIFIED,"The iron loss was then suppressed to a lower value of 15.6 W/kg thanks to a deformation degree of 80 percent during cold rolling, which also guaranteed the inheritance of the uniform microstructure and prevented the aberrant growth of recrystallized grains after annealing.",29353,29362,P
UNSPECIFIED,35A300,GRADE,UNSPECIFIED,"To investigate the effect of rotor design, bridge widths of the rotor core consisting of 35A300 were changed from 0.5 to 2.0 mm.",7718,7724,PM
UNSPECIFIED,3% silicon,SI_CONTENT,UNSPECIFIED,Production of single-crystal 3% silicon-iron sheet with orientation near (110)[001].,158015,158025,P
UNSPECIFIED,1.5 T,FLUX_DENSITY,UNSPECIFIED,"In Figure 4, the maximum magnetic ﬁeld strength Hmax and the iron loss PS at 1.5 T and 50 Hz are displayed for all samples.",20896,20901,P
UNSPECIFIED,3.0% Si,SI_CONTENT,UNSPECIFIED,"The evolution of microstructure and microtexture during annealing of a 3.0% Si NOES as observed by in-situ EBSD techniques245: (a) room temperature, (b) 600°C, (c) 650°C, (d) 700°C, (e) 750°C, (f) 800°C, (g) 850°C, (h) 950°C.",124854,124861,AM
UNSPECIFIED,20HTH1800,GRADE,UNSPECIFIED,50H600 35H250 20HTH1500 15HTH1000 50H310 20HTH1800 20HTH1200 Grade Figure 10.,16602,16611,AM
UNSPECIFIED,20HTH1200,GRADE,UNSPECIFIED,"(W/kg) 850 (T) (MPa) 15HTHI000 9.4 16.7 1.61 4 10 20HTH1200 10.9 21.3 1.63 420 20HTH1500 12.2 23.6 1.63 380 20HTH1800 13.4 28.4 1.68 270 Conventional I 35H250 17.0 40.4 1.66 402 I 50H310 25.1 53.7 1.67 412 40 35 Oi ""'"" 30 ~ III 25 IIIg 20 !!! 0",16231,16240,TM
UNSPECIFIED,3% Si,SI_CONTENT,UNSPECIFIED,"153-155 39 YABUMOTO, M., KOBAYASHI, H., NOZAWA, T., HIROSE, K., and TAKAHASHI, N.: ‘Heat proof domain refining method using chemically etched pits on the surface of grain oriented 3% Si-Fe’, IEEE Trans, 1987, MAG23, (9, pp.",71566,71571,AM
UNSPECIFIED,2.5 % Si,SI_CONTENT,UNSPECIFIED,"As a result, an alloy containing more than about 2.5 % Si is body-centered cubic at all temperatures up to the melting point.",13217,13225,P
UNSPECIFIED,1.7 T,FLUX_DENSITY,UNSPECIFIED,"The losses achieved using this method were 0.85 W/kg when exposed to a magnetic ﬂux density of 1.7 T, with a sheet thickness of 0.23 mm.",67286,67291,P
UNSPECIFIED,6.5% Si,SI_CONTENT,UNSPECIFIED,"The relationship between the core loss and grain size: (a) hysteresis loss (Ph), eddy current loss (Pcl) and total loss (Pt) vs. grain diameter,138 (b) excess loss (Pe) vs. grain size.137 He and Kestens 369 been increasing recently, and a comprehensive review on the 6.5% Si electrical steel has been given by Ouyang et al.34 Aluminium.",73806,73813,A
UNSPECIFIED,2.8% Si,SI_CONTENT,UNSPECIFIED,"The nucleation of cube grains from shear bands of deformed {110}<110> (rotated Goss) matrix: (a) in a 1.2% Si NOES,246 (b) in a 2.8% Si NOES,248 (c) IPF map showing the orientations of the matrix grain and the shear band of a 2.8% Si NOES, (d) image quality (IQ) map showing the difference in IQ within the shear bands.",128734,128741,AM
UNSPECIFIED,2.8% Si,SI_CONTENT,UNSPECIFIED,"382 International Materials Reviews 70(5) {001} texture and the relatively small grain size, the core loss was reduced by 25% and the permeability increased by 2–5 times.242 Cube texture with ﬁne equiaxed grains (non columnar) was developed by Sha et al.243 in a 2.8% Si steel through TRC and relatively high temperature annealing (without secondary recrystallisation).",121458,121465,A
UNSPECIFIED,3% Silicon,SI_CONTENT,UNSPECIFIED,"d silicon-iron and amorDhous material 3% Silicon-iron Iron-based amorphous Consolidated amorphous 0.3 mm thick alloy Metglas 2605s-2 strip POWERCORE 0.03 mm thick 0.13 mm thick Curie temperature, ""C 745 Crystallisation temperature, ""C - Maximum working temperature, ""C 2650 Tensile strength, MPa 320-360 Yield strength, MPa 300-320 Resistivity.",49674,49684,AM
UNSPECIFIED,0.5% Si,SI_CONTENT,UNSPECIFIED,"Yashiki, H.; Kaneko, T. Effects of Mn and S on the Grain Growth and Texture in Cold Rolled 0.5% Si Steel.",95492,95499,P
UNSPECIFIED,1.2 MPa,MPA_VALUE,UNSPECIFIED,A stress of 1.2 MPa along the rolling direction was estimated.,26842,26849,P
UNSPECIFIED,3 mass% Si,SI_CONTENT,UNSPECIFIED,"Shingaki Y, Takashima M and Hayakawa Y. Inﬂuence of initial crystal orientation and carbon content on rolling-induced texture in 3 mass% Si steel.",152025,152035,P
UNSPECIFIED,3 wt% si,SI_CONTENT,UNSPECIFIED,In-situ EBSD study on the cube texture evolution in 3 wt% si steel complemented by ex-situ EBSD experiment—from nucleation to grain growth.,177288,177296,P
UNSPECIFIED,6.5% silicon,SI_CONTENT,UNSPECIFIED,"Kawasaki Steel Corporation have already produced microcrystalline 6.5% silicon iron on a trial basis, and Nippon Kokan Steel Corporation has developed similar material, 0.1 mm thick and 400 mm wide.",55168,55180,P
RESOLVED,6.5% Si,SI_CONTENT,COMPETITOR,Increasing the silicon content of relatively low silicon (< 3.2%) steel after it is cold rolled to produce 6.5% Si GOES using more cost effective and environment friendly methods (other than chemical vapour deposition) may also be a route to pursue.,66992,66999,P
RESOLVED,W10/400,CORE_LOSS,AMBIGUOUS,"W10/50 W10/400 W1/10k 6.5% Si steel 0.10 1.80 0.51 5.7 8.3 23,000 0.1 Grain-oriented electrical steel sheet Si 3 wt% 0.10 2.00 0.72 7.2 18.0 24,000 0.8 0.23 2.00 0.29 7.8 30.0 92,000 Non-oriented electrical steel sheet Si 3 wt% 0.20 2.00 0.74 10.4 24.0 15,000 7.8 0.35 2.00 0.70 14.4 33.0 18,000 Fe-based amorphous 0.025 1.50 0.11 1.5 3.0 300,000 27 EPS type: column Motor type: brush DC 50A1000 50A700 50JNE300 0.0 0.2 0.4 0.6 1.0 0.8 1.2 Friction torque (50A1000=1)",13626,13633,T
RESOLVED,W0.5/20k,CORE_LOSS,COMPETITOR,5 10 15 20 25 W10/400 6.5%Si steel Gradient Si steel Iron loss (W/kg) Thickness:0.10mm W0.5/20k W1/10k W2/5k W5/2k Fig.,18011,18019,T
RESOLVED,B50,FLUX_DENSITY,NGO,Figure 2 shows example magnetic properties of the developed product series of high-efficien­ cy non-oriented electrical steel sheets (HIEXCORE ™ and THIN­ NER GAUGE HIEXCORE ™ HX) in which magnetic flux density B50 (the flux density under a magnetizing force of 5 000 A/m) has been improved at the same level of iron loss for higher motor torque.,6019,6022,A
RESOLVED,50A1000,GRADE,AMBIGUOUS,"W10/50 W10/400 W1/10k 6.5% Si steel 0.10 1.80 0.51 5.7 8.3 23,000 0.1 Grain-oriented electrical steel sheet Si 3 wt% 0.10 2.00 0.72 7.2 18.0 24,000 0.8 0.23 2.00 0.29 7.8 30.0 92,000 Non-oriented electrical steel sheet Si 3 wt% 0.20 2.00 0.74 10.4 24.0 15,000 7.8 0.35 2.00 0.70 14.4 33.0 18,000 Fe-based amorphous 0.025 1.50 0.11 1.5 3.0 300,000 27 EPS type: column Motor type: brush DC 50A1000 50A700 50JNE300 0.0 0.2 0.4 0.6 1.0 0.8 1.2 Friction torque (50A1000=1)",14008,14015,T
RESOLVED,10 W/kg,CORE_LOSS,NGO,"In the case of non-oriented electrical steels, the total losses, at 1.5 T and 60 Hz, vary from 10 W/kg to 3 W/kg in the annealed condition, as indicated in steel manufacturers’ catalogs [29].",19551,19558,P
RESOLVED,B8,FLUX_DENSITY,COMPETITOR,"Future research and development With continued research and development in the past decades, the magnetic quality of GOES has been signiﬁ- cantly improved.27,124 However, since the 1970’s, the improvement of magnetic ﬂux density in GOES has been relatively small,125–129 as the magnetic induction (B8 = 2.0 T) is already very close to the saturation ﬂux density of 2.03 T (single {011}<100> crystal).130 While there is still some room to further reduce the core loss by reducing the sheet thickness and optimising the microstructure, the potential to improve the magnetic ﬂux density (B8) by texture optimisation is very limited as the deviation angle from the ideal Goss in high permeability GOES has already been reduced to about 3°, which is very close to the theoretical single crystal orientation.",65630,65632,P
RESOLVED,W5/2k,CORE_LOSS,COMPETITOR,5 10 15 20 25 W10/400 6.5%Si steel Gradient Si steel Iron loss (W/kg) Thickness:0.10mm W0.5/20k W1/10k W2/5k W5/2k Fig.,18033,18038,A
RESOLVED,3% silicon,SI_CONTENT,NGO,"These steels collectively boast an annual amount of production surpassing 12 million tons, with roughly 80% constituting non-oriented (NO) grades and the remaining 20% being grain-oriented (GO) steels containing 3% silicon.",10891,10901,P
RESOLVED,15HST780Y,GRADE,NGO,"Especially, 15HST780Y has double the strength as well as half the core loss WI/IOOO compared with conventional non-oriented silicon steel.",19985,19994,P
RESOLVED,B8,FLUX_DENSITY,COMPETITOR,Trace Bi (0.0005–0.05%) in GOES can produce ultra high magnetic ﬂux density (B8,35696,35698,P
