doc_id,entity_text,label,context,start_char,end_char
19,M235-35A,GRADE,"Typically, for example, a material classiﬁed as M235-35A would be preferred over an M270-50A steel grade.",6791,6799
10,50A470,GRADE,"Ring samples (outer diameter: 47 mm, inner diameter: 33 mm, and core thickness: 7 mm) for which electrical steel sheets in four steel grades (35A210, 35A300, 50A470, and 50A1300) were used as iron cores were made.",14434,14440
19,M270-50A,GRADE,"Typically, for example, a material classiﬁed as M235-35A would be preferred over an M270-50A steel grade.",6827,6835
18,50H310,GRADE,"(W/kg) 850 (T) (MPa) 15HTHI000 9.4 16.7 1.61 4 10 20HTH1200 10.9 21.3 1.63 420 20HTH1500 12.2 23.6 1.63 380 20HTH1800 13.4 28.4 1.68 270 Conventional I 35H250 17.0 40.4 1.66 402 I 50H310 25.1 53.7 1.67 412 40 35 Oi ""'"" 30 ~ III 25 IIIg 20 !!! 0",16361,16367
18,20HTH1800,GRADE,50H600 35H250 20HTH1500 15HTH1000 50H310 20HTH1800 20HTH1200 Grade Figure 10.,16602,16611
26,35A300,GRADE,"(Rotor cores consist of 35A300.) of rotor core material, such as the as-cold-rolled nonoriented electrical steel, resulted in a decrease in inductance difference.",10395,10401
22,50A1000,GRADE,"W10/50 W10/400 W1/10k 6.5% Si steel 0.10 1.80 0.51 5.7 8.3 23,000 0.1 Grain-oriented electrical steel sheet Si 3 wt% 0.10 2.00 0.72 7.2 18.0 24,000 0.8 0.23 2.00 0.29 7.8 30.0 92,000 Non-oriented electrical steel sheet Si 3 wt% 0.20 2.00 0.74 10.4 24.0 15,000 7.8 0.35 2.00 0.70 14.4 33.0 18,000 Fe-based amorphous 0.025 1.50 0.11 1.5 3.0 300,000 27 EPS type: column Motor type: brush DC 50A1000 50A700 50JNE300 0.0 0.2 0.4 0.6 1.0 0.8 1.2 Friction torque (50A1000=1)",14008,14015
18,20HST570Y,GRADE,I 20HST570Y,19206,19215
22,50JNE300,GRADE,"W10/50 W10/400 W1/10k 6.5% Si steel 0.10 1.80 0.51 5.7 8.3 23,000 0.1 Grain-oriented electrical steel sheet Si 3 wt% 0.10 2.00 0.72 7.2 18.0 24,000 0.8 0.23 2.00 0.29 7.8 30.0 92,000 Non-oriented electrical steel sheet Si 3 wt% 0.20 2.00 0.74 10.4 24.0 15,000 7.8 0.35 2.00 0.70 14.4 33.0 18,000 Fe-based amorphous 0.025 1.50 0.11 1.5 3.0 300,000 27 EPS type: column Motor type: brush DC 50A1000 50A700 50JNE300 0.0 0.2 0.4 0.6 1.0 0.8 1.2 Friction torque (50A1000=1)",14023,14031
18,35H250,GRADE,"(W/kg) 850 (T) (MPa) 15HTHI000 9.4 16.7 1.61 4 10 20HTH1200 10.9 21.3 1.63 420 20HTH1500 12.2 23.6 1.63 380 20HTH1800 13.4 28.4 1.68 270 Conventional I 35H250 17.0 40.4 1.66 402 I 50H310 25.1 53.7 1.67 412 40 35 Oi ""'"" 30 ~ III 25 IIIg 20 !!! 0",16333,16339
26,35A300,GRADE,"Iron loss, copper loss, and motor efﬁciency of test motors as a function of bride width of rotor core: (A) 900 r/m and (B) 5400 r/m (Open; 35A300, Solid; 690-MPa grade).",13570,13576
10,35A210,GRADE,"Ring samples (outer diameter: 47 mm, inner diameter: 33 mm, and core thickness: 7 mm) for which electrical steel sheets in four steel grades (35A210, 35A300, 50A470, and 50A1300) were used as iron cores were made.",14418,14424
19,M235-35A,GRADE,"At low frequencies, the M235-35A has lower iron losses, as expected by the classiﬁcation.",7128,7136
19,M235-35A,GRADE,"At 5 kHz, the behavior changes and the M235-35A actually has higher losses.",7233,7241
15,NO20,GRADE,A few NO20 un-joined laminations that have been laser-cut make up the first example.,53646,53650
18,15HTH1000,GRADE,50H600 35H250 20HTH1500 15HTH1000 50H310 20HTH1800 20HTH1200 Grade Figure 10.,16585,16594
10,50A1300,GRADE,"Ring samples (outer diameter: 47 mm, inner diameter: 33 mm, and core thickness: 7 mm) for which electrical steel sheets in four steel grades (35A210, 35A300, 50A470, and 50A1300) were used as iron cores were made.",14446,14453
10,35A300,GRADE,"Ring samples (outer diameter: 47 mm, inner diameter: 33 mm, and core thickness: 7 mm) for which electrical steel sheets in four steel grades (35A210, 35A300, 50A470, and 50A1300) were used as iron cores were made.",14426,14432
26,35A300,GRADE,"For the rotor core, 35A300, 690-MPa grade, and the as-cold-rolled nonoriented electrical steel were shaped by wire-cut method, and shaped pieces were stacked and then fastened by bolts, respectively.",7449,7455
18,35H250,GRADE,"I "" --:-=:~:=-:-..,.--, 500 600 700 800 Yield strength (MPa) 400 35H250 I0, ~ 20HSTISOY OL...----'-----'------''----'--_--'-_---''_-----l 300 50 r-------------------, 900 BOO 400 500 800 700 Yieldstrength (MPa) o'--........--......- ......--""""""--.......----J 300 50,...-----------------., 45 40 _35 ..ll:'J3l ..... 0 25 II);;;20 ~ 15 10 5 Figure 12.",19281,19287
26,35A300,GRADE,"For the stator core, 35A300 was shaped by etching method, and shaped pieces were stacked and then welded.",7344,7350
26,M300-35A,GRADE,The equivalent grade is M300-35A and M300- 35A5 in accordance with EN 10106 (2007) and IEC 60404-8-4 (1998).,5931,5939
26,35A300,GRADE,"6. Maximum displacement of rotor core in radial direction: (A) displace- ment during rotation and (B) displacement due to plastic deformation (Open; 35A300, Solid; 690-MPa grade).",15617,15623
18,35H250,GRADE,50H600 35H250 20HTH1500 15HTH1000 50H310 20HTH1800 20HTH1200 Grade Figure 10.,16568,16574
18,20HTH1200,GRADE,"(W/kg) 850 (T) (MPa) 15HTHI000 9.4 16.7 1.61 4 10 20HTH1200 10.9 21.3 1.63 420 20HTH1500 12.2 23.6 1.63 380 20HTH1800 13.4 28.4 1.68 270 Conventional I 35H250 17.0 40.4 1.66 402 I 50H310 25.1 53.7 1.67 412 40 35 Oi ""'"" 30 ~ III 25 IIIg 20 !!! 0",16231,16240
19,1.3 W/kg,CORE_LOSS,"Thin steel sheets are usually classiﬁed in the form of NO20-13, where 20 represents a 0.2 mm sheet and 13 indicates a maximum allowed iron loss of 1.3 W/kg at 1.0 T and 400 Hz.",5395,5403
22,W1/10k,CORE_LOSS,5 10 15 20 25 W10/400 6.5%Si steel Gradient Si steel Iron loss (W/kg) Thickness:0.10mm W0.5/20k W1/10k W2/5k W5/2k Fig.,18020,18026
22,W0.5/20k,CORE_LOSS,5 10 15 20 25 W10/400 6.5%Si steel Gradient Si steel Iron loss (W/kg) Thickness:0.10mm W0.5/20k W1/10k W2/5k W5/2k Fig.,18011,18019
15,16.337 W/kg,CORE_LOSS,"P15/50 and P10/400 were reduced to 2.6 W/kg and 16.337 W/kg, respectively, from 3.2 W/kg and 17.695 W/kg, or 17.7% and 7.6%, respectively.",49818,49829
22,W10/50,CORE_LOSS,"W10/50 W10/400 W1/10k 6.5% Si steel 0.10 1.80 0.51 5.7 8.3 23,000 0.1 Grain-oriented electrical steel sheet Si 3 wt% 0.10 2.00 0.72 7.2 18.0 24,000 0.8 0.23 2.00 0.29 7.8 30.0 92,000 Non-oriented electrical steel sheet Si 3 wt% 0.20 2.00 0.74 10.4 24.0 15,000 7.8 0.35 2.00 0.70 14.4 33.0 18,000 Fe-based amorphous 0.025 1.50 0.11 1.5 3.0 300,000 27 EPS type: column Motor type: brush DC 50A1000 50A700 50JNE300 0.0 0.2 0.4 0.6 1.0 0.8 1.2 Friction torque (50A1000=1)",13619,13625
